id,name,code,phone,address,town,is_active,district,state,geo_group,area,branch,current_balance
CUST-KB-0001,"68 MINI MARKET",KB0001,601140155527,"KG SIMPANG ENTILIBON TONGOD, TONGOD, 89320",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0002,"77 FRESH MART",KB0002,60192827737,"LOT 10 B, KEDAI PERKASA BARU, WDT 388, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0003,"86 MINI MARKET",KB0003,601140155527,"KG SIMPANG ENTILIBON, TONGOD, 89320",TONGOD,true,TONGOD,Sabah,East Coast Sabah,TONGOD,Kinabatangan,0
CUST-KB-0004,"AA RESTORAN",KB0004,,"JALAN PEKAN BELURAN, BELURAN",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0005,"AGRO BAZAR",KB0005,,"TIADA ALAMAT",KINABATANGAN,true,KINABATANGAN,Sabah,East Coast Sabah,KINABATANGAN,Kinabatangan,0
CUST-KB-0006,"AHLAM TRADING",KB0006,60148572566,"PPM 482 ELOPURA, SANDAKAN, 90000",SANDAKAN,true,SANDAKAN,Sabah,East Coast Sabah,SANDAKAN,Kinabatangan,0
CUST-KB-0007,"AHMAD MINI MART",KB0007,60167064518,"KG CENDERAMATA JALAN SAPI NANGOH",BELURAN,true,BELURAN,Sabah,East Coast Sabah,BELURAN,Kinabatangan,0
CUST-KB-0008,"AJWA SUPERSTORE",KB0008,60162613110,"KAMPUNG SILABUKAN FASA 1, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0009,"AKHBAR TRADING",KB0009,6011533944449,"KG GOMANTONG JAYA, BATU 4 JALAN SUKAU, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0010,"ANGAN BTE SAID",KB0010,,"KG SRI DARUN TUNGKU, LAHAD DATU","LAHAD DATU",true,"LAHAD DATU",Sabah,East Coast Sabah,"LAHAD DATU",Kinabatangan,0
CUST-KB-0011,"BACHA ENT",KB0011,60105563393,"SIMPANG BATU 8, BUKIT GARAM, KOTA KINABATANGAN, 90200","KOTA KINABATANGAN",true,"KOTA KINABATANGAN",Sabah,East Coast Sabah,"KOTA KINABATANGAN",Kinabatangan,0
CUST-KB-0012,"BERJAYA D'ZIQ MART",KB0012,60193764556,"LOT 6 BANGUNAN SEDCO PARIS 3, KOTA KINABATANGAN",KOTA KINABATANGAN,true,KOTA KINABATANGAN,Sabah,East Coast Sabah,KOTA KINABATANGAN,Kinabatangan,0
