Daerah Rasmi (Sabah),Zon (Rujukan Gambar),Nama Kedai,Alamat Tepat,No Telefon
KOTA KINABALU,KOTA KINABALU,NEVER CLOSE SUPERSTORE SINSURAN,"Lot 2, Block B, Sinsuran Complex, 88000 Kota Kinabalu",088-212 900
KOTA KINABALU,KOTA KINABALU,IMBASJAYA SEMBULAN,"Lot 11, GF, Bangunan Sembulan, 88100 Kota Kinabalu",016-810 5757
KOTA KINABALU,KOTA KINABALU,24 SEVEN SUPERSTORE KG AIR,"No 2, GF, Block A, Kampung Air, 88000 Kota Kinabalu",088-254 724
KOTA KINABALU,KEPAYAN,KEDAI RUNCIT BIBI AISYAH 1,"Sri Kepayan Commercial Centre, 88200 Kota Kinabalu",016-819 5440
KOTA KINABALU,KEPAYAN,KEDAI RUNCIT BIBI AISYAH 2,"Sri Kepayan Commercial Centre, 88200 Kota Kinabalu",
KOTA KINABALU,KEPAYAN,NORDIN ENT KEPAYAN,,
KOTA KINABALU,KEPAYAN,NORAIN ENT,,
KOTA KINABALU,INANAM,MARSHAL TRADING INANAM,"Lot 16, GF, Inanam Commercial Centre, 88450 Kota Kinabalu",088-421 211
KOTA KINABALU,INANAM,KEDAI RUNCIT KAMPUNG INANAM,,
KOTA KINABALU,INANAM,FOOD TOWN FRESHMART,"Lot 12, Ground Floor, Inanam Plaza, 88450 Kota Kinabalu",088-433 922
KOTA KINABALU,TELIPOK,RAMAI JAYA FASHION S/B,"Pekan Telipok, 88450 Kota Kinabalu",088-491 501
KOTA KINABALU,TELIPOK,DMC GROCERY,,
KOTA KINABALU,TELIPOK,RESTORAN SHAHIR,,
KOTA KINABALU,TELIPOK,RESTORNA IKKA,,
KOTA KINABALU,TELIPOK,JUMAIRAH FRESHMARY,,
KOTA KINABALU,TELIPOK,AISYAH MINI MART UUC,"University Utama Condominium, Telipok",011-1250 4404
KOTA KINABALU,TELIPOK,ZARA ENT UUC,,
KOTA KINABALU,SEPANGGAR,BASIT ENT TAMAN SEPANGGAR,"Taman Sepanggar, 88450 Kota Kinabalu",014-955 4501
KOTA KINABALU,SEPANGGAR,MARHABA ENT KKIP,"KKIP South, Sepanggar, 88450 Kota Kinabalu",016-833 2241
KOTA KINABALU,SEPANGGAR,AZIZ ENT KKIP,,
KOTA KINABALU,SEPANGGAR,MELAWAR TRADING,,
KOTA KINABALU,SEPANGGAR,IMAD TRADING,,
PENAMPANG,KEPAYAN,RAZI BUNDUSAN,"Lot 12, GF, Bundusan Square, Penampang",014-672 5441
PENAMPANG,KEPAYAN,SUMAYYAH BUNDUSAN,"Pavilion Bundusan, Jalan Bundusan, Penampang",011-1414 4353
PENAMPANG,INANAM,CKS FRESHMART COUNTRY HEIGHT,"Country Heights Plaza, Jln Minintod, Penampang",088-723 331
PENAMPANG,INANAM,CUNY FRESHMART COUNTRY HEIGHT,,
PENAMPANG,INANAM,M3 MART MOYOG,,
PENAMPANG,INANAM,SERENA TRADING PENAMPANG,,
PENAMPANG,INANAM,ARSYAD ENT MOYOG,,
PENAMPANG,INANAM,D'AMANDA MOYOG,,
PENAMPANG,INANAM,KEDAI RUNCIT 2'GET SUGUD,,
PENAMPANG,INANAM,KJM MINI MARKET MOYOG,,
PENAMPANG,INANAM,CS SUPERMARKET MOYOG,"Jln Penampang-Tambunan, Moyog, Penampang",088-712 112
PENAMPANG,INANAM,EZZYMART PENAMPANG,"Bundusan Commercial Centre, Penampang",010-585 0707
PENAMPANG,INANAM,IFFY ENT PENAMPANG,,
PUTATAN,PUTATAN,SWAT ENT,,
PUTATAN,PUTATAN,SHABNOOR HOMEMART,"Lot 22, GF, Putatan Point, 88200 Putatan",088-773 234
