id,name,code,phone,address,town,outstandingBalance,is_active,district,state,geo_group,area,branch,current_balance
CUST-KK-0001,NEVER CLOSE SUPERSTORE SINSURAN,KK0001,088-212 900,"Lot 2, Block B, Sinsuran Complex, 88000 Kota Kinabalu",KOTA KINABALU,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KOTA KINABALU,Kota Kinabalu,0
CUST-KK-0002,IMBASJAYA SEMBULAN,KK0002,016-810 5757,"Lot 11, GF, Bangunan Sembulan, 88100 Kota Kinabalu",KOTA KINABALU,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KOTA KINABALU,Kota Kinabalu,0
CUST-KK-0003,24 SEVEN SUPERSTORE KG AIR,KK0003,088-254 724,"No 2, GF, Block A, Kampung Air, 88000 Kota Kinabalu",KOTA KINABALU,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KOTA KINABALU,Kota Kinabalu,0
CUST-KK-0004,KEDAI RUNCIT BIBI AISYAH 1,KK0004,016-819 5440,"Sri Kepayan Commercial Centre, 88200 Kota Kinabalu",KEPAYAN,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0005,KEDAI RUNCIT BIBI AISYAH 2,KK0005,,"Sri Kepayan Commercial Centre, 88200 Kota Kinabalu",KEPAYAN,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0006,NORDIN ENT KEPAYAN,KK0006,,,KEPAYAN,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0007,NORAIN ENT,KK0007,,,KEPAYAN,0,true,KOTA KINABALU,Sabah,Sabah Mainland,KEPAYAN,Kota Kinabalu,0
CUST-KK-0008,MARSHAL TRADING INANAM,KK0008,088-421 211,"Lot 16, GF, Inanam Commercial Centre, 88450 Kota Kinabalu",INANAM,0,true,KOTA KINABALU,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0009,KEDAI RUNCIT KAMPUNG INANAM,KK0009,,,INANAM,0,true,KOTA KINABALU,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0010,FOOD TOWN FRESHMART,KK0010,088-433 922,"Lot 12, Ground Floor, Inanam Plaza, 88450 Kota Kinabalu",INANAM,0,true,KOTA KINABALU,Sabah,Sabah Mainland,INANAM,Kota Kinabalu,0
CUST-KK-0011,RAMAI JAYA FASHION S/B,KK0011,088-491 501,"Pekan Telipok, 88450 Kota Kinabalu",TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0012,DMC GROCERY,KK0012,,,TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0013,RESTORAN SHAHIR,KK0013,,,TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0014,RESTORNA IKKA,KK0014,,,TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0015,JUMAIRAH FRESHMARY,KK0015,,,TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0016,AISYAH MINI MART UUC,KK0016,011-1250 4404,"University Utama Condominium, Telipok",TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0017,ZARA ENT UUC,KK0017,,,TELIPOK,0,true,KOTA KINABALU,Sabah,Sabah Mainland,TELIPOK,Kota Kinabalu,0
CUST-KK-0018,BASIT ENT TAMAN SEPANGGAR,KK0018,014-955 4501,"Taman Sepanggar, 88450 Kota Kinabalu",SEPANGGAR,0,true,KOTA KINABALU,Sabah,Sabah Mainland,SEPANGGAR,Kota Kinabalu,0
CUST-KK-0019,MARHABA ENT KKIP,KK0019,016-833 2241,"KKIP South, Sepanggar, 88450 Kota Kinabalu",SEPANGGAR,0,true,KOTA KINABALU,Sabah,Sabah Mainland,SEPANGGAR,Kota Kinabalu,0
CUST-KK-0020,AZIZ ENT KKIP,KK0020,,,SEPANGGAR,0,true,KOTA KINABALU,Sabah,Sabah Mainland,SEPANGGAR,Kota Kinabalu,0
CUST-KK-0021,MELAWAR TRADING,KK0021,,,SEPANGGAR,0,true,KOTA KINABALU,Sabah,Sabah Mainland,SEPANGGAR,Kota Kinabalu,0
CUST-KK-0022,IMAD TRADING,KK0022,,,SEPANGGAR,0,true,KOTA KINABALU,Sabah,Sabah Mainland,SEPANGGAR,Kota Kinabalu,0
